name,phot,sigma,channel
cx0100-7211,8.576308,2.177628970811334,1
cx0100-7211,2.4158974,1.5660100226552809,2
cx0100-7211,-0.31326866,0.8837222994308253,3
cx0100-7211,0.4240017,0.48491267997343823,4
4u0142+61,3.0458813,7.275197454075168,1
4u0142+61,4.639719,4.453683700862582,2
sg0526-66,-2.2943687,0.5716098992695597,1
sg0526-66,-3.7456436,0.7568388045504088,2
sg0526-66,-8.466705,2.097423555710287,3
sg0526-66,-8.228897,1.2010874018719346,4
1e1048-5937,7.358532,10.188502026915897,1
1e1048-5937,2.2311382,6.724935315575621,2
1e1048-5937,10.201553,4.69092501919183,3
1e1048-5937,-0.27520752,2.1035514920649496,4
ps1622-4950,29.359634,7.460097299619344,1
ps1622-4950,13.631699,5.5930728563894245,2
ps1622-4950,127.26477,10.252535122620653,3
ps1622-4950,nan,nan,4
cx1647-4552,-45.071594,45.97367913890922,1
1r1708-4009,41.275238,13.619977807105753,1
1r1708-4009,-17.062393,11.854089041998156,2
1r1708-4009,24.694336,16.320944720998252,3
1r1708-4009,-5.6086426,6.863860433608779,4
cx1714-3810,-1.9922638,19.171283171369943,1
cx1714-3810,5.4822083,7.9811009579591,2
cx1714-3810,-5.3273315,12.239094584650207,3
cx1714-3810,28.886963,25.2574871192754,4
sg1745-2900,-402.45343,79.1674745782462,1
sg1806-20,-354.6949,268.0808118479344,1
sg1806-20,-372.90796,260.9289692861374,2
sg1806-20,nan,nan,3
xt1810-197,-3.4968643,2.3946439689020647,1
sw1818-1607,37.641205,39.287334550715734,1
sw1818-1607,25.759384,39.75056874859861,2
sw1818-1607,-4.314209,30.788068169913355,3
sw1818-1607,-45.426758,27.850362478898127,4
sw1822-1606,818.4889,20.274490488226384,1
sw1822-1606,502.21655,8.322529800484306,2
sw1822-1606,264.4397,11.594503299122776,3
sw1822-1606,132.64966,10.261559645366678,4
sg1833-0832,0.45489502,7.675281482633612,1
sg1833-0832,-2.7868042,6.2330993119643905,2
sg1833-0832,-10.587158,11.13201354117667,3
sg1833-0832,2.758789,10.046369960916941,4
sw1834-0846,15.5269165,12.400847800749698,1
sw1834-0846,25.936646,10.629184766518277,2
sw1834-0846,-122.53357,21.481982959702254,3
sw1834-0846,-164.21924,20.106806913895426,4
1e2259+586,0.66975975,0.3122761130431516,1
1e2259+586,0.44769096,0.2794760550438736,2
1e2259+586,0.20108032,0.8267679770429037,3
1e2259+586,0.39382935,0.6723163004820178,4
sg0755-2933,462.705,453.20923732975757,1
sg0755-2933,182.08264,345.2093355299181,2
sg1801-23,75.72684,147.190898117526,1
sg1801-23,32.810272,96.42708687150676,2
sg1801-23,-9.247437,55.74737052119951,3
sg1801-23,10.539551,31.310462913236417,4
sg1808-20,62.548325,13.146548780789507,1
sg1808-20,8.972473,6.290738299236588,2
sg1808-20,2.750061,8.40489502724853,3
sg1808-20,-23.43457,7.071445889086559,4
ax1818-1559,3.6089478,48.65583031442299,1
ax1818-1559,nan,nan,2
ax1818-1559,-31.427124,21.87963663475493,3
ax1818-1559,-7.3427734,11.56413969375842,4
ax1845-0258,32.48378,8.83275749937871,1
ax1845-0258,23.648819,6.755984826727628,2
ax1845-0258,-9.549561,8.053804261198925,3
ax1845-0258,-9.374023,9.138181605861819,4
sg2013+34,-0.30055237,0.6274842867835823,1
sg2013+34,-1.4334135,0.3810227263266854,2
ps1846-0258,3.8711243,10.082288216828248,1
ps1846-0258,-2.905075,5.420233907448893,2
ps1846-0258,-6.6520996,4.217077736825254,3
